Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Class
21,VAFB,Jason-3,553.0,LEO,NASA,Success,F9 v1.1,Failure,17 January 2016,18:42,0
22,Cape Canaveral,SES-9,5271.0,GTO,SES,Success,F9 FT,Failure,4 March 2016,23:35,0
23,Cape Canaveral,SpaceX CRS-8,3136.0,LEO,NASA,Success,F9 FT,Success,8 April 2016,20:43,1
24,Cape Canaveral,JCSAT-14,4696.0,GTO,SKY Perfect JSAT Group,Success,F9 FT,Success,6 May 2016,05:21,1
25,Cape Canaveral,Thaicom 8,3100.0,GTO,Thaicom,Success,F9 FT,Success,27 May 2016,21:39,1
26,Cape Canaveral,ABS-2A,3600.0,GTO,ABS,Success,F9 FT,Failure,15 June 2016,14:29,0
27,Cape Canaveral,SpaceX CRS-9,2257.0,LEO,NASA,Success,F9 FT,Success,18 July 2016,04:45,1
28,Cape Canaveral,JCSAT-16,4600.0,GTO,SKY Perfect JSAT Group,Success,F9 FT,Success,14 August 2016,05:26,1
29,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 FT,Success,14 January 2017,17:54,1
30,KSC,SpaceX CRS-10,2490.0,LEO,NASA,Success,F9 FT,Success,19 February 2017,14:39,1
31,KSC,EchoStar 23,5600.0,GTO,EchoStar,Success,F9 FT,No attempt,16 March 2017,06:00,0
32,KSC,SES-10,5300.0,GTO,SES,Success,F9 FT♺,Success,30 March 2017,22:27,1
33,KSC,NROL-76,6191.091836734694,LEO,NRO,Success,F9 FT,Success,1 May 2017,11:15,1
34,KSC,Inmarsat-5 F4,6070.0,GTO,Inmarsat,Success,F9 FT,No attempt,15 May 2017,23:21,0
35,KSC,SpaceX CRS-11,2708.0,LEO,NASA,Success,F9 FT,Success,3 June 2017,21:07,1
36,KSC,BulgariaSat-1,3669.0,GTO,Bulsatcom,Success,F9 FTB1029.2,Success,23 June 2017,19:10,1
37,VAFB,Iridium NEXT,9600.0,LEO,Iridium Communications,Success,F9 FT,Success,25 June 2017,20:25,1
38,KSC,Intelsat 35e,6761.0,GTO,Intelsat,Success,F9 FT,No attempt,5 July 2017,23:38,0
39,KSC,SpaceX CRS-12,3310.0,LEO,NASA,Success,F9 B4,Success,14 August 2017,16:31,1
40,VAFB,Formosat-5,475.0,SSO,NSPO,Success,F9 FT,Success,24 August 2017,18:51,1
41,KSC,Boeing X-37B,4990.0,LEO,USAF,Success,F9 B4,Success,7 September 2017,14:00,1
42,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 B4,Success,9 October 2017,12:37,1
43,KSC,SES-11,5200.0,GTO,SES S.A.,Success,F9 FTB1031.2,Success,11 October 2017,22:53:00,1
44,KSC,Koreasat 5A,3500.0,GTO,KT Corporation,Success,F9 B4,Success,30 October 2017,19:34,1
45,Cape Canaveral,SpaceX CRS-13,2205.0,LEO,NASA,Success,F9 FTB1035.2,Success,15 December 2017,15:36,1
46,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 FTB1036.2,Controlled,23 December 2017,01:27,1
47,CCAFS,Zuma,6191.091836734694,LEO,Northrop Grumman,Success,F9 B4,Success,8 January 2018,01:00,1
48,CCAFS,GovSat-1,4230.0,GTO,SES,Success,F9 FTB1032.2,Controlled,31 January 2018,21:25,1
49,VAFB,Paz,2150.0,SSO,Hisdesat,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17,0
50,CCAFS,Hispasat 30W-6,6092.0,GTO,Hispasat,Success,F9 B4,No attempt,6 March 2018,05:33,0
51,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,30 March 2018,14:14,0
52,CCAFS,SpaceX CRS-14,2647.0,LEO,NASA,Success,F9 B4B1039.2,No attempt,2 April 2018,20:30,0
53,CCAFS,Transiting Exoplanet Survey Satellite,362.0,HEO,NASA,Success,F9 B4,Success,18 April 2018,22:51,1
54,KSC,Bangabandhu-1,3600.0,GTO,Thales-Alenia,Success,F9 B5B1046.1,Success,11 May 2018,20:14,1
55,VAFB,Iridium NEXT,6460.0,Polar,Iridium Communications,Success,F9 B4B1043.2,No attempt,22 May 2018,19:47,0
56,CCAFS,SES-12,5384.0,GTO,SES,Success,F9 B4B1040.2,No attempt,4 June 2018,04:45,0
57,CCAFS,SpaceX CRS-15,2697.0,LEO,NASA,Success,F9 B4B1045.2,No attempt,29 June 2018,09:42,0
58,CCAFS,Telstar 19V,7075.0,GTO,Telesat,Success,F9 B5,Success,22 July 2018,05:50,1
59,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 B5B1048,Success,25 July 2018,11:39,1
60,CCAFS,Merah Putih,5800.0,GTO,Telkom Indonesia,Success,F9 B5B1046.2,Success,7 August 2018,05:18,1
61,CCAFS,Telstar 18V,7060.0,GTO,Telesat,Success,F9 B5,Success,10 September 2018,04:45,1
62,VAFB,SAOCOM 1A,3000.0,SSO,CONAE,Success,F9 B5B1048.2,Success,8 October 2018,02:22,1
63,KSC,Es'hail 2,5300.0,GTO,Es'hailSat,Success,F9 B5B1047.2,Success,15 November 2018,20:46,1
64,VAFB,SSO-A,6191.091836734694,SSO,Spaceflight Industries,Success,F9 B5B1046.3,Success,3 December 2018,18:34:05,1
65,CCAFS,SpaceX CRS-16,2500.0,LEO,NASA,Success,F9 B5,Failure,5 December 2018,18:16,0
66,CCAFS,GPS III,4400.0,MEO,USAF,Success,F9 B5,No attempt,23 December 2018,13:51,0
67,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Success,F9 B5B1049.2,Success,11 January 2019,15:31,1
68,CCAFS,Nusantara Satu,4850.0,GTO,PSN,Success,F9 B5B1048.3,Success,22 February 2019,01:45,1
69,KSC,Crew Dragon Demo-1,12055.0,LEO,NASA,Success,F9 B5[268],Success,2 March 2019,07:49,1
70,CCAFS,SpaceX CRS-17,2495.0,LEO,NASA,Success,F9 B5,Success,4 May 2019,06:48,1
71,CCAFS,Starlink,13620.0,LEO,SpaceX,Success,F9 B5B1049.3,Success,24 May 2019,02:30,1
72,VAFB,RADARSAT Constellation,4200.0,SSO,Canadian Space Agency,Success,F9 B5B1051.2,Success,12 June 2019,14:17,1
73,CCAFS,SpaceX CRS-18,2268.0,LEO,NASA,Success,F9 B5B1056.2,Success,25 July 2019,22:01,1
74,CCAFS,AMOS-17,6500.0,GTO,Spacecom,Success,F9 B5B1047.3,No attempt,6 August 2019,23:23,0
75,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,11 November 2019,14:56,1
76,CCAFS,SpaceX CRS-19,2617.0,LEO,NASA,Success,F9 B5,Success,5 December 2019,17:29,1
77,CCAFS,JCSat-18,6956.0,GTO,Sky Perfect JSAT,Success,F9 B5B1056.3,Success,17 December 2019,00:10,1
78,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,7 January 2020,02:19:21,1
79,KSC,Crew Dragon in-flight abort test,12050.0,Sub-orbital,NASA,Success,F9 B5,No attempt,19 January 2020,15:30,0
80,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,29 January 2020,14:07,1
81,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Failure,17 February 2020,15:05,0
82,CCAFS,SpaceX CRS-20,1977.0,LEO,NASA,Success,F9 B5,Success,7 March 2020,04:50,1
83,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Failure,18 March 2020,12:16,0
84,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,22 April 2020,19:30,1
85,KSC,Crew Dragon Demo-2,12530.0,LEO,NASA,Success,F9 B5,Success,30 May 2020,19:22,1
86,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,4 June 2020,01:25,1
87,CCAFS,Starlink,15410.0,LEO,SpaceX,Success,F9 B5,Success,13 June 2020,09:21,1
88,CCAFS,GPS III,4311.0,MEO,U.S. Space Force,Success,F9 B5,Success,30 June 2020,20:10:46,1
89,CCAFS,ANASIS-II,6191.091836734694,GTO,Republic of Korea Army,Success,F9 B5B1058.2,Success,20 July 2020,21:30,1
90,KSC,Starlink,14932.0,LEO,SpaceX,Success,F9 B5,Success,7 August 2020,05:12,1
91,CCAFS,Starlink,6191.091836734694,LEO,SpaceX,Success,F9 B5B1049.6,Success,18 August 2020,14:31,1
92,CCAFS,SAOCOM 1B,3130.0,SSO,CONAE,Success,F9 B5,Success,30 August 2020,23:18,1
93,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5B1060.2,Success,3 September 2020,12:46:14,1
94,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5B1058.3,Success,6 October 2020,11:29:34,1
95,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5B1051.6,Success,18 October 2020,12:25:57,1
96,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5,Success,24 October 2020,15:31:34,1
97,CCAFS,GPS III,4311.0,MEO,USSF,Success,F9 B5,Success,5 November 2020,23:24:23,1
98,KSC,Crew-1,6191.091836734694,LEO,NASA,Success,F9 B5,Success,16 November 2020,00:27,1
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),1192.0,LEO,NASA,Success,F9 B5,Success,21 November 2020,17:17:08,1
100,CCAFS,Starlink,15600.0,LEO,SpaceX,Success,F9 B5 ♺,Success,25 November 2020,02:13,1
101,KSC,SpaceX CRS-21,2972.0,LEO,NASA,Success,F9 B5 ♺,Success,6 December 2020,16:17:08,1
102,CCSFS,SXM-7,7000.0,GTO,Sirius XM,Success,F9 B5 ♺,Success,13 December 2020,17:30:00,1
103,KSC,NROL-108,6191.091836734694,LEO,NRO,Success,F9 B5 ♺,Success,19 December 2020,14:00:00,1
104,CCSFS,Türksat 5A,3500.0,GTO,Türksat,Success,F9 B5,Success,8 January 2021,02:15,1
105,KSC,Starlink,15600.0,LEO,SpaceX,Success,F9 B5B1051.8,Success,20 January 2021,13:02,1
106,CCSFS,Transporter-1,6191.091836734694,SSO,0,0,F9 B5B1058.5,0,24 January 2021,15:00,0
